0.000832999998237938 15.552 0.005
385.950533000003 15.667 0.003
403.862789999999 16.056 0.004
404.838024000004 15.897 0.004
758.852186000004 16.081 0.004
1140.842351 15.852 0.003
1449.951597 15.916 0.004
1452.947561 15.873 0.006
1463.906595 15.997 0.005
1482.878602 15.738 0.005
1491.903562 15.959 0.004
1493.867162 15.586 0.005
1496.862801 15.483 0.005
1501.847036 15.73 0.004
1503.936538 16.028 0.005
1506.908418 16.028 0.004
1508.899929 15.722 0.005
1512.858974 15.92 0.005
1514.897324 15.96 0.004
1521.872865 15.826 0.004
1524.856954 15.776 0.008
1532.842584 15.93 0.004
1802.927589 15.516 0.017
1823.934301 16.115 0.01
1825.902933 15.535 0.016
1837.888412 15.886 0.016
1839.881255 15.652 0.014
1847.887238 15.874 0.009
1849.936523 16.171 0.012
1855.877602 15.936 0.008
1857.880789 15.632 0.007
1859.870063 15.671 0.012
1861.940691 15.925 0.01
1864.862034 15.912 0.011
1867.87652 15.904 0.014
1877.861147 15.248 0.018
1880.8673 15.662 0.011
1884.837647 15.962 0.019
1886.86326 16.011 0.012
1889.868157 16.015 0.011
1895.858146 15.956 0.013
2184.906455 15.948 0.019
2192.904311 15.987 0.016
2212.954279 15.449 0.009
2214.954781 15.79 0.013
2229.947974 15.568 0.012
